,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Score
0,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.934
1,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
2,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
3,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
4,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
5,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
6,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
7,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
8,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
9,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
10,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
11,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
12,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
13,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
14,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
15,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
16,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
17,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
18,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
19,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
20,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
21,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
22,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Colts,Buccaneers,0.933
23,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Texans,Cowboys,Eagles,Cardinals,Falcons,Buccaneers,0.933
24,Bills,Packers,Jets,49ers,Seahawks,Ravens,Jaguars,Lions,Bengals,Bears,Dolphins,Chiefs,Cowboys,Eagles,Cardinals,Chargers,Buccaneers,0.933
